date,lon,lat,SPEI,region
2009-07-16,-15.75,23.75,-1.3957014,dakhla-oued_ed-dahab
2009-08-16,-15.75,23.75,-1.6938747,dakhla-oued_ed-dahab
2009-09-16,-15.75,23.75,1.4502337,dakhla-oued_ed-dahab
2009-10-16,-15.75,23.75,-0.9115465,dakhla-oued_ed-dahab
2009-11-16,-15.75,23.75,-1.6443925,dakhla-oued_ed-dahab
2009-12-16,-15.75,23.75,-0.828168,dakhla-oued_ed-dahab
2010-01-16,-15.75,23.75,-2.0048487,dakhla-oued_ed-dahab
2010-02-15,-15.75,23.75,-0.91290706,dakhla-oued_ed-dahab
2010-03-16,-15.75,23.75,-1.5222796,dakhla-oued_ed-dahab
2010-04-16,-15.75,23.75,-1.1259744,dakhla-oued_ed-dahab
2010-05-16,-15.75,23.75,-0.72432184,dakhla-oued_ed-dahab
2010-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2010-07-16,-15.75,23.75,1.0993837,dakhla-oued_ed-dahab
2010-08-16,-15.75,23.75,-0.82810533,dakhla-oued_ed-dahab
2010-09-16,-15.75,23.75,0.11286933,dakhla-oued_ed-dahab
2010-10-16,-15.75,23.75,-0.042967614,dakhla-oued_ed-dahab
2010-11-16,-15.75,23.75,-0.49241233,dakhla-oued_ed-dahab
2010-12-16,-15.75,23.75,-0.828168,dakhla-oued_ed-dahab
2011-01-16,-15.75,23.75,-0.30093938,dakhla-oued_ed-dahab
2011-02-15,-15.75,23.75,-0.47158194,dakhla-oued_ed-dahab
2011-03-16,-15.75,23.75,0.5004591,dakhla-oued_ed-dahab
2011-04-16,-15.75,23.75,-0.234207,dakhla-oued_ed-dahab
2011-05-16,-15.75,23.75,-0.2847423,dakhla-oued_ed-dahab
2011-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2011-07-16,-15.75,23.75,0.52801764,dakhla-oued_ed-dahab
2011-08-16,-15.75,23.75,-0.29593968,dakhla-oued_ed-dahab
2011-09-16,-15.75,23.75,-1.2057508,dakhla-oued_ed-dahab
2011-10-16,-15.75,23.75,-0.4848806,dakhla-oued_ed-dahab
2011-11-16,-15.75,23.75,-0.51405793,dakhla-oued_ed-dahab
2011-12-16,-15.75,23.75,-0.23478033,dakhla-oued_ed-dahab
2012-01-16,-15.75,23.75,-0.57191914,dakhla-oued_ed-dahab
2012-02-15,-15.75,23.75,0.94445246,dakhla-oued_ed-dahab
2012-03-16,-15.75,23.75,-0.5791182,dakhla-oued_ed-dahab
2012-04-16,-15.75,23.75,1.4603447,dakhla-oued_ed-dahab
2012-05-16,-15.75,23.75,-1.0986627,dakhla-oued_ed-dahab
2012-06-16,-15.75,23.75,-0.7671541,dakhla-oued_ed-dahab
2012-07-16,-15.75,23.75,-0.6782409,dakhla-oued_ed-dahab
2012-08-16,-15.75,23.75,-1.0612459,dakhla-oued_ed-dahab
2012-09-16,-15.75,23.75,-1.6528155,dakhla-oued_ed-dahab
2012-10-16,-15.75,23.75,-0.9115465,dakhla-oued_ed-dahab
2012-11-16,-15.75,23.75,-0.51405793,dakhla-oued_ed-dahab
2012-12-16,-15.75,23.75,-0.828168,dakhla-oued_ed-dahab
2013-01-16,-15.75,23.75,-1.1522522,dakhla-oued_ed-dahab
2013-02-15,-15.75,23.75,-2.0375018,dakhla-oued_ed-dahab
2013-03-16,-15.75,23.75,-1.9260156,dakhla-oued_ed-dahab
2013-04-16,-15.75,23.75,-1.5298617,dakhla-oued_ed-dahab
2013-05-16,-15.75,23.75,-0.72432184,dakhla-oued_ed-dahab
2013-06-16,-15.75,23.75,-1.5093858,dakhla-oued_ed-dahab
2013-07-16,-15.75,23.75,1.0993837,dakhla-oued_ed-dahab
2013-08-16,-15.75,23.75,-0.13601525,dakhla-oued_ed-dahab
2013-09-16,-15.75,23.75,0.45665196,dakhla-oued_ed-dahab
2013-10-16,-15.75,23.75,-0.5546476,dakhla-oued_ed-dahab
2013-11-16,-15.75,23.75,-0.51405793,dakhla-oued_ed-dahab
2013-12-16,-15.75,23.75,-0.828168,dakhla-oued_ed-dahab
2014-01-16,-15.75,23.75,-0.57191914,dakhla-oued_ed-dahab
2014-02-15,-15.75,23.75,-0.086097665,dakhla-oued_ed-dahab
2014-03-16,-15.75,23.75,-0.08974773,dakhla-oued_ed-dahab
2014-04-16,-15.75,23.75,-0.7430052,dakhla-oued_ed-dahab
2014-05-16,-15.75,23.75,-1.0986627,dakhla-oued_ed-dahab
2014-06-16,-15.75,23.75,-0.7671541,dakhla-oued_ed-dahab
2014-07-16,-15.75,23.75,0.5076881,dakhla-oued_ed-dahab
2014-08-16,-15.75,23.75,1.3989145,dakhla-oued_ed-dahab
2014-09-16,-15.75,23.75,1.3648982,dakhla-oued_ed-dahab
2014-10-16,-15.75,23.75,-1.8386296,dakhla-oued_ed-dahab
2014-11-16,-15.75,23.75,0.19045874,dakhla-oued_ed-dahab
2014-12-16,-15.75,23.75,-0.23478033,dakhla-oued_ed-dahab
2015-01-16,-15.75,23.75,0.7799126,dakhla-oued_ed-dahab
2015-02-15,-15.75,23.75,0.5671034,dakhla-oued_ed-dahab
2015-03-16,-15.75,23.75,0.008214912,dakhla-oued_ed-dahab
2015-04-16,-15.75,23.75,-0.2665485,dakhla-oued_ed-dahab
2015-05-16,-15.75,23.75,-1.6852336,dakhla-oued_ed-dahab
2015-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2015-07-16,-15.75,23.75,-0.1474625,dakhla-oued_ed-dahab
2015-08-16,-15.75,23.75,1.3989145,dakhla-oued_ed-dahab
2015-09-16,-15.75,23.75,-0.039521348,dakhla-oued_ed-dahab
2015-10-16,-15.75,23.75,0.08066006,dakhla-oued_ed-dahab
2015-11-16,-15.75,23.75,0.3542989,dakhla-oued_ed-dahab
2015-12-16,-15.75,23.75,-1.5172743,dakhla-oued_ed-dahab
2016-01-16,-15.75,23.75,-2.0410945,dakhla-oued_ed-dahab
2016-02-15,-15.75,23.75,-1.021716,dakhla-oued_ed-dahab
2016-03-16,-15.75,23.75,0.008214912,dakhla-oued_ed-dahab
2016-04-16,-15.75,23.75,-0.2665485,dakhla-oued_ed-dahab
2016-05-16,-15.75,23.75,-0.2847423,dakhla-oued_ed-dahab
2016-06-16,-15.75,23.75,-0.7671541,dakhla-oued_ed-dahab
2016-07-16,-15.75,23.75,-1.8206296,dakhla-oued_ed-dahab
2016-08-16,-15.75,23.75,-0.18957816,dakhla-oued_ed-dahab
2016-09-16,-15.75,23.75,-0.59711134,dakhla-oued_ed-dahab
2016-10-16,-15.75,23.75,-0.9936695,dakhla-oued_ed-dahab
2016-11-16,-15.75,23.75,-0.51405793,dakhla-oued_ed-dahab
2016-12-16,-15.75,23.75,2.484774,dakhla-oued_ed-dahab
2017-01-16,-15.75,23.75,-0.9940001,dakhla-oued_ed-dahab
2017-02-15,-15.75,23.75,-1.4081261,dakhla-oued_ed-dahab
2017-03-16,-15.75,23.75,-1.8508043,dakhla-oued_ed-dahab
2017-04-16,-15.75,23.75,-1.8475637,dakhla-oued_ed-dahab
2017-05-16,-15.75,23.75,-1.0986627,dakhla-oued_ed-dahab
2017-06-16,-15.75,23.75,-2.2134385,dakhla-oued_ed-dahab
2017-07-16,-15.75,23.75,-0.80137545,dakhla-oued_ed-dahab
2017-08-16,-15.75,23.75,-1.6938747,dakhla-oued_ed-dahab
2017-09-16,-15.75,23.75,1.8161682,dakhla-oued_ed-dahab
2017-10-16,-15.75,23.75,-1.3999699,dakhla-oued_ed-dahab
2017-11-16,-15.75,23.75,-0.9443437,dakhla-oued_ed-dahab
2017-12-16,-15.75,23.75,-0.828168,dakhla-oued_ed-dahab
2018-01-16,-15.75,23.75,-0.38579628,dakhla-oued_ed-dahab
2018-02-15,-15.75,23.75,1.5406059,dakhla-oued_ed-dahab
2018-03-16,-15.75,23.75,-1.078156,dakhla-oued_ed-dahab
2018-04-16,-15.75,23.75,0.24804373,dakhla-oued_ed-dahab
2018-05-16,-15.75,23.75,0.7560134,dakhla-oued_ed-dahab
2018-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2018-07-16,-15.75,23.75,1.6049933,dakhla-oued_ed-dahab
2018-08-16,-15.75,23.75,-0.2428991,dakhla-oued_ed-dahab
2018-09-16,-15.75,23.75,-1.7324266,dakhla-oued_ed-dahab
